,0,1,2,3,4,5,6,7
0,-0.045042347,0.024698589,0.038221743,0.00039781258,0.013013516,-0.04277383,0.03749687,0.032318246
1,0.8664902,0.61953586,0.7048916,0.68323463,0.7829379,-0.6391795,0.66323286,0.6918987
2,0.52568746,0.7522993,0.707557,0.6599557,0.7068332,-0.70425296,0.56296855,0.67061645
3,0.29665378,0.6169163,0.4779476,0.51503557,0.5538216,-0.6078359,0.45923918,0.5685461
4,0.23156957,0.8525927,0.70792556,0.84534913,0.83656293,-0.8451908,0.6859787,0.90452456
5,0.5176939,0.7022393,0.6535046,0.5932682,0.5220353,-0.5882267,0.583433,0.6108739
6,1.1305301,0.54972893,0.6390421,0.4985827,0.46760184,-0.60362726,0.80497044,0.52519846
7,0.9371982,0.6400438,0.73955154,0.6937043,0.77655774,-0.82137215,0.8115922,0.75800663
8,0.8249937,0.74165916,0.6621404,0.6694715,0.70543116,-0.7198975,0.65263027,0.69017774
9,0.70052963,0.7653118,0.70868,0.8391319,0.751074,-0.746397,0.71548945,0.71099627
10,0.7614221,0.7813935,0.720801,0.7424558,0.7328319,-0.6994503,0.76295143,0.62929964
11,0.36711806,0.66445476,0.68005675,0.7297258,0.71834314,-0.69831896,0.5553294,0.80047536
12,0.6095096,0.74577755,0.6594026,0.82255733,0.8420454,-0.7831264,0.761664,0.71271145
13,1.1007292,0.5736262,0.7414666,0.52699584,0.5517149,-0.60371774,0.60095954,0.5880252
14,0.8377274,0.6536257,0.78933716,0.56891876,0.725795,-0.7390382,0.7148845,0.60040873
15,0.49840197,0.5625452,0.56203,0.5467575,0.69163173,-0.58805597,0.46288654,0.62959766
16,0.86076677,0.7160591,0.81575084,0.8387163,0.7552393,-0.67885494,0.7465263,0.81183434
17,0.6199699,0.6216477,0.53534365,0.56931275,0.4803808,-0.5731611,0.6075694,0.58343124
18,0.7633708,0.7214166,0.6985138,0.7087207,0.6656402,-0.68962294,0.65592045,0.650537
19,0.8252147,0.5673726,0.59099627,0.6069495,0.5258272,-0.5538897,0.59611,0.63350743
20,0.35710022,0.52120465,0.5443101,0.7093959,0.6053183,-0.5779167,0.5142615,0.64861315
21,0.7943341,0.49721977,0.6945767,0.55886817,0.5654672,-0.6041684,0.6560199,0.5801736
22,0.9021432,0.6365296,0.65036917,0.6895046,0.6529818,-0.6496376,0.7030517,0.6335064
23,0.7133615,0.63811845,0.68959486,0.5550293,0.60182667,-0.67823565,0.8158059,0.57936335
24,0.724387,0.8318775,0.7420451,0.7564448,0.7819306,-0.7652168,0.629154,0.73051083
25,0.8380997,0.7327647,0.72256505,0.7418719,0.67227197,-0.6254636,0.6353977,0.6084097
26,0.40098962,0.59434325,0.5936613,0.61186415,0.5858903,-0.5968762,0.6306466,0.6016377
27,0.28237262,0.66336495,0.5799079,0.70839643,0.7072428,-0.5425826,0.5043258,0.64849454
28,0.5905754,0.733766,0.6457588,0.715607,0.628925,-0.74254256,0.6057725,0.6736548
29,0.49995515,0.6954841,0.6306426,0.62434447,0.5917416,-0.7533343,0.64139646,0.6740348
30,0.45432577,0.71259,0.6023412,0.72856975,0.6696546,-0.73104715,0.6460624,0.7516549
31,0.69626033,0.5987219,0.51338387,0.6034619,0.6691796,-0.6350623,0.68072474,0.6595268
32,0.40396342,0.6336849,0.62284124,0.64322865,0.626423,-0.6119842,0.5610979,0.6131474
