Outcode,Latitude,Longitude
BN2,50.826109,-0.079503
BN20,50.775889,0.233311
BN21,50.773,0.277
BN22,50.788,0.284
BN23,50.798425,0.309738
BN24,50.818566,0.338254
BN25,50.781231,0.12157
BN26,50.82473,0.197928
BN27,50.877024,0.2646
BN3,50.840303,-0.179222
BN41,50.84153,-0.219408
BN42,50.838239,-0.225923
BN43,50.853764,-0.269797
BN44,50.904437,-0.321909
BN45,50.868275,-0.179501
BN5,50.930604,-0.261921
BN6,50.934068,-0.149694
BN7,50.880791,-0.024434
BN8,50.908128,0.080611
BN9,50.800774,0.04936
BR1,51.412584,0.024843
BR2,51.370626,0.029214
BR3,51.402093,-0.029233
BR4,51.375861,-0.004384
BR5,51.391538,0.100783
BR6,51.354868,0.101492
BR7,51.412562,0.058473
BR8,51.394097,0.177071
BS1,51.454813,-2.598741
BS10,51.516834,-2.629762
BS11,51.497,-2.675
BS13,51.412,-2.611
BS14,51.413,-2.561
BS15,51.452788,-2.504724
BS16,51.485,-2.51
BS2,51.457911,-2.579273
BS20,51.479,-2.752
BS21,51.42869,-2.827981
BS22,51.36,-2.929
BS23,51.343,-2.97
BS24,51.326837,-2.908488
BS25,51.318027,-2.829428
BS26,51.279,-2.855
BS27,51.271,-2.77
BS28,51.225,-2.814
BS29,51.334672,-2.866346
BS3,51.436461,-2.606328
BS30,51.445,-2.472
BS31,51.408,-2.491
BS32,51.555759,-2.571819
BS34,51.521284,-2.567585
BS35,51.596,-2.549
BS36,51.526,-2.486
BS37,51.542237,-2.414046
BS39,51.340495,-2.544411
BS4,51.435995,-2.565165
BS40,51.339029,-2.694831
BS41,51.422,-2.651
BS48,51.420443,-2.732437
BS49,51.37468,-2.809159
BS5,51.463825,-2.5499
BS6,51.473759,-2.597623
BS7,51.486629,-2.580236
BS8,51.45552,-2.655662
BS9,51.485602,-2.621438
BS99,51.458,-2.573
BT1,54.601176,-5.925854
BT10,54.55807,-5.988757
BT11,54.577625,-5.999892
BT12,54.587395,-5.966411
BT13,54.610526,-5.96251
BT14,54.631355,-5.996693
BT15,54.639727,-5.94435
BT16,54.594316,-5.794319
BT17,54.563774,-6.022777
BT18,54.641514,-5.808907
BT19,54.64479,-5.668396
BT2,54.592745,-5.929459
BT20,54.655902,-5.664178
BT21,54.637195,-5.567919
BT22,54.479397,-5.540166
BT23,54.539753,-5.737487
BT24,54.407121,-5.876774
BT25,54.378729,-6.112343
BT26,54.448195,-6.058486
BT27,54.494518,-6.011254
BT28,54.53944,-6.156332
BT29,54.599378,-6.17755
BT3,54.617316,-5.893673
BT30,54.344105,-5.715785
BT31,54.277897,-6.010497
BT32,54.450271,-6.017143
BT33,54.344555,-5.920986
BT34,54.151208,-6.115586
BT35,54.563346,-6.349597
BT36,54.685324,-5.968416
BT37,54.676885,-5.906051
BT38,54.745347,-5.797671
BT39,54.736919,-6.008689
BT4,54.585972,-5.870517
BT40,54.841795,-5.819685
BT41,54.744728,-6.314515
BT42,54.851127,-6.232238
BT43,54.929872,-6.231816
BT44,54.976183,-6.241405
BT45,54.821811,-6.879628
BT46,54.876236,-6.662092
BT47,54.937415,-7.045536
BT48,55.00947,-7.330904
BT49,55.071154,-6.954062
BT5,54.577868,-5.86411
BT51,55.021468,-6.684472
BT52,55.070081,-6.629119
BT53,55.085,-6.473
BT54,55.2,-6.258
BT55,55.18,-6.71
BT56,55.198,-6.649
BT57,55.202,-6.517
BT6,54.569974,-5.881813
BT60,54.27765,-6.656328
BT61,54.368,-6.623
BT62,54.412,-6.464
BT63,54.404,-6.389
BT64,54.45,-6.392
BT65,54.445,-6.366
BT66,54.455,-6.333
BT67,54.487,-6.268
BT68,54.366,-6.848
BT69,54.424,-6.949
BT7,54.580174,-5.925269
BT70,54.515,-6.887
BT71,54.510887,-6.664113
BT74,54.343,-7.665
BT75,54.369185,-7.298166
BT76,54.419,-7.191
BT77,54.427,-7.117
BT78,54.571,-7.374
BT79,54.624,-7.201
BT8,54.532095,-5.939289
BT80,54.645,-6.748
BT81,54.694,-7.614
BT82,54.826,-7.427
BT9,54.569516,-5.955895
BT92,54.223,-7.462
BT93,54.465,-7.826
BT94,54.376,-7.541
CA1,54.884411,-2.913138
CA10,54.611,-2.659
CA11,54.664,-2.786
CA12,54.602,-3.133
CA13,54.66,-3.366
CA14,54.62389,-3.496364
CA15,54.712,-3.481
CA16,54.574,-2.483
CA17,54.479,-2.35
CA18,54.354,-3.39
CA19,54.387,-3.382
CA2,54.884,-2.949
CA20,54.41,-3.461
CA21,54.445,-3.515
CA22,54.48,-3.531
CA23,54.514,-3.493
CA24,54.515,-3.542
CA25,54.523,-3.517
CA26,54.544,-3.481
CA27,54.491,-3.592
CA28,54.54505,-3.583306
CA3,54.907,-2.939
CA4,54.83682,-2.804464
CA5,54.855,-3.015
CA6,54.994,-2.892
CA7,54.807,-3.237
CA8,54.939,-2.685
CA9,54.802,-2.419
CB1,52.196481,0.063253
CB10,52.031704,0.288008
CB11,52.000225,0.191351
CB2,52.188521,0.12703
CB3,52.212449,0.102385
CB4,52.223021,0.135567
CB5,52.21899,0.152101
CB6,52.404,0.224
CB7,52.382019,0.351405
CB8,52.222012,0.446478
CB9,52.084317,0.445598
CF10,51.473451,-3.165409
CF11,51.469015,-3.198052
CF14,51.524243,-3.193911
CF15,51.542365,-3.287235
CF23,51.517722,-3.151578
CF24,51.484402,-3.160073
CF3,51.531671,-3.097827
CF31,51.510827,-3.570723
CF32,51.534454,-3.595119
CF33,51.52722,-3.649109
CF34,51.608871,-3.64757
CF35,51.524525,-3.530609
CF36,51.488946,-3.701341
CF37,51.613122,-3.341666
CF38,51.571102,-3.328536
CF39,51.599351,-3.434467
CF40,51.616378,-3.455906
CF41,51.648606,-3.479228
CF42,51.667744,-3.530892
CF43,51.656878,-3.458452
CF44,51.747777,-3.500599
CF45,51.670291,-3.360548
CF46,51.67177,-3.295801
CF47,51.752334,-3.377307
CF48,51.755637,-3.382044
CF5,51.474835,-3.286096
CF61,51.4178,-3.505707
CF62,51.40745,-3.359659
CF63,51.411489,-3.250475
CF64,51.428866,-3.205866
CF71,51.463101,-3.453937
CF72,51.530093,-3.391728
CF81,51.6906,-3.257353
CF82,51.652352,-3.241683
CF83,51.584521,-3.205508
CH1,53.225184,-2.937352
CH2,53.235007,-2.855122
CH3,53.152085,-2.799526
CH4,53.161163,-2.95939
CH41,53.394107,-3.091767
CH42,53.374,-3.021
CH43,53.383,-3.058
CH44,53.415,-3.036
CH45,53.428,-3.05
CH46,53.404274,-3.109675
CH47,53.395319,-3.168938
CH48,53.370166,-3.17631
CH49,53.381,-3.103
CH5,53.204,-3.041
CH6,53.251549,-3.142813
CH60,53.323399,-3.099473
CH61,53.347433,-3.106494
CH62,53.336365,-2.976732
CH63,53.339399,-3.021777
CH64,53.288,-3.047
CH65,53.285224,-2.90533
CH66,53.278807,-2.948761
CH7,53.169,-3.133
CH8,53.281,-3.241
CM0,51.68025,0.842547
CM1,51.756745,0.426735
CM11,51.619913,0.461591
CM12,51.618231,0.407296
CM13,51.609196,0.334102
CM14,51.637039,0.264254
CM15,51.650137,0.312163
CM16,51.703168,0.124299
CM17,51.767718,0.167636
CM18,51.753245,0.106598
CM19,51.759866,0.054801
CM2,51.711329,0.497149
CM20,51.783598,0.103772
CM21,51.819851,0.13435
CM22,51.873244,0.226269
CM23,51.88921,0.16068
CM24,51.892387,0.221296
CM3,51.72956,0.583012
CM4,51.684023,0.379196
CM5,51.725365,0.26095
CM6,51.873082,0.369539
CM7,51.935816,0.490817
CM8,51.81097,0.630306
CM9,51.739208,0.726883
CO1,51.888418,0.911281
CO10,52.019778,0.698861
CO11,51.937062,1.090068
CO12,51.920005,1.204421
CO13,51.84923,1.22847
CO14,51.85396,1.26742
CO15,51.794028,1.152117
CO16,51.836693,1.110526
CO2,51.85441,0.861843
CO3,51.886411,0.853792
CO4,51.925263,0.913666
CO5,51.8268,0.825379
CO6,51.955097,0.793075
CO7,51.921308,1.010534
