,0,1
0,-9.834438,2.6818814
1,3.4722993,-4.332513
2,2.4560468,-1.733766
3,2.7042332,-0.58651346
4,3.3106718,-2.2019928
5,0.6146094,-0.13085191
6,0.65552944,2.5923905
7,3.7893195,-3.8247762
8,5.912004,-4.3994904
9,5.1966867,-4.10646
10,5.5200734,-3.6428843
11,3.4739356,-4.191378
12,5.7184963,-5.241514
13,3.1443584,-2.5494726
14,5.609264,-4.9650235
15,2.976856,-3.8995554
16,3.5584507,-1.6625948
17,2.869961,-1.6097101
18,4.2815123,-0.02860831
19,3.2001343,-4.1588225
20,3.7989268,-1.958065
21,1.1102513,1.0087692
22,3.4162934,-4.461266
23,6.5714626,-4.4020743
24,3.5236409,-2.1265843
25,2.3658888,-2.6890452
26,3.7407095,-1.6435887
27,2.9720254,-0.5178445
28,3.5770864,-4.394738
29,0.04504579,-0.10321775
30,5.9575887,-4.159768
31,2.62777,-3.3800251
32,5.7803607,-3.5322618
33,3.8725252,-1.6453326
34,-0.43519032,0.8215125
35,-1.7711855,2.0094
36,-2.0378778,1.8312664
37,0.50563335,1.6597586
38,1.385425,-1.005898
39,3.4709628,-1.655015
40,2.5879986,0.13368343
41,3.1014762,0.025693811
42,4.308239,-3.972048
43,2.6223326,0.26468265
44,3.2756596,-1.3940028
45,5.708122,-5.0501
46,5.675237,-2.862206
47,5.418326,-3.0971873
48,6.353089,-4.2002964
49,3.4340262,-0.6759713
50,5.6671305,-5.31131
51,3.9976208,-1.8673769
52,5.4330277,-4.038919
53,1.6450958,0.34748366
54,2.0278885,-2.4462428
55,4.008479,-4.271673
56,5.8264275,-4.6195636
57,5.5802817,-4.862921
58,5.1956835,-3.3654795
59,6.4051037,-4.443933
60,5.655944,-4.480876
61,5.6691437,-3.5734336
62,1.599771,-0.88654876
63,2.7823668,-0.7023181
64,5.6286235,-5.3363833
65,4.5089192,-2.9825134
66,3.1789896,-2.842382
67,1.4324826,-0.3866121
68,3.5371723,-1.6735498
69,3.3153477,-4.348712
70,4.006238,-2.9422388
71,3.556298,-3.7697837
72,1.5158015,-1.0003209
73,2.4882607,-2.6079648
74,-2.6773467,3.0789924
75,-0.8962859,2.4455953
76,3.7290475,-2.3691227
77,2.6638737,-2.0633137
78,-1.9359524,1.2004632
79,3.4817922,-4.464695
80,1.3945203,1.1359932
81,5.3428326,-2.2116632
82,3.4048936,-3.7609725
83,3.8783722,-4.50892
84,1.7460715,0.96632546
85,1.9783669,-0.17380656
86,5.2596064,-4.3638043
87,4.4987097,-4.1215672
88,3.2416744,-2.9017818
89,5.973869,-4.739964
90,2.0373962,-0.28046215
91,4.0968,-2.7764266
92,4.4955063,-3.7893937
93,4.038233,-3.675278
94,2.0625021,-0.9153612
95,3.0403798,-3.8184094
96,3.6824753,-4.5143175
97,3.6596143,-3.88273
98,5.6996217,-5.143631
99,4.933683,-3.1931052
100,5.8133082,-5.2607603
101,3.1480076,-1.8068385
102,2.6341538,-0.67159504
103,-3.850297,2.7011533
104,-5.29881,2.5592887
105,-0.565157,0.11787407
106,0.579642,2.749214
107,3.4169471,-0.9850069
108,4.0228114,0.4345765
109,4.0476007,-1.4522527
110,0.55834067,2.0947928
111,2.9903145,-2.496054
112,-3.3553023,2.6297398
113,-0.20239595,3.3172708
114,5.8020906,-5.1834745
115,0.6838417,1.2741978
116,2.8034232,-4.0260396
117,1.5731939,-3.1397445
118,1.2893378,-2.2482193
119,-1.4817677,2.5766177
120,-2.565818,1.5016255
121,1.5846672,-2.635753
122,-1.4065534,2.2859085
123,2.4461293,-1.2429105
124,5.843281,-4.6271276
125,1.8340355,-2.8488684
126,3.2299492,-4.1009307
127,5.8252063,-5.2852287
128,4.8851886,-2.494243
129,3.9570944,-3.9381871
130,-0.9203947,2.393303
131,5.407211,-3.1637943
132,5.2087436,-4.434601
133,3.9903507,-4.279957
134,6.480419,-4.457137
135,6.2997856,-4.108378
136,5.514593,-4.741457
137,5.778584,-3.696028
138,-0.5126505,0.63206536
139,1.6399554,1.047997
140,2.5908709,-0.9497902
141,4.8860645,-2.4299643
142,1.9772707,0.029512003
143,3.2259514,-4.1032605
144,3.9587588,-4.132127
145,-0.40595406,0.81156224
146,0.3861073,0.98528147
147,2.2096958,-3.084048
148,0.4904897,-2.3628168
149,3.5265713,0.15576257
150,3.8568022,-4.0079827
151,4.1541142,-3.6302056
152,5.129547,-3.3569906
153,5.1242266,-3.799273
154,4.252356,-3.7991493
155,1.5698594,-0.56910676
156,5.293772,-4.3500066
157,4.075347,-3.7806137
158,0.41824,0.47845966
159,2.399305,-1.3847513
160,4.67133,-1.6273214
161,2.3165097,-2.9405835
162,5.1345415,-2.90825
163,3.8627226,-2.0858352
164,4.327729,-3.2433286
165,5.5997424,-4.349995
166,5.853533,-4.0022306
167,2.8424137,0.47733933
168,6.0984025,-4.369986
169,5.790089,-5.348975
170,5.635696,-5.150789
171,5.532934,-3.6807706
172,5.7067504,-5.233006
173,5.656315,-5.0301147
174,3.6249223,-4.6626797
175,5.3673477,-4.196566
176,3.6681454,-4.200022
177,5.7442355,-3.0625608
178,6.470335,-4.453049
179,6.000577,-4.0292335
180,6.1161823,-4.453603
181,3.4711044,-4.487245
182,5.6607995,-4.2556524
183,6.1122017,-4.0751386
184,3.7574356,-1.3000469
185,6.462085,-3.7709966
186,3.1920424,-4.1247053
187,6.1803665,-4.7688675
188,4.7341866,-3.219443
189,5.5984764,-4.428005
