"1","4150504644","9784150504649","","","読み終わった","","","","2016-05-18 21:21:01","2016-05-18 21:21:01","国家はなぜ衰退するのか(上):権力・繁栄・貧困の起源 (ハヤカワ・ノンフィクション文庫)","ダロン アセモグル","早川書房","2016","本","414"
"1","4152093846","9784152093844","","","読み終わった","","","","2016-05-18 21:21:13","2016-05-18 21:21:13","国家はなぜ衰退するのか(上):権力・繁栄・貧困の起源","ダロン アセモグル","早川書房","2013","本","368"
"1","4794221878","9784794221872","","","読みたい","","","","2016-05-22 10:36:33","","カルチャロミクス;文化をビッグデータで計測する","エレツ エイデン","草思社","2016","本","352"
"1","4622077531","9784622077534","","","読みたい","","","","2016-05-22 10:36:51","","テクニウム――テクノロジーはどこへ向かうのか?","ケヴィン・ケリー","みすず書房","2014","本","456"
"1","4757160607","9784757160606","","","読みたい","","","","2016-05-23 23:37:47","","世界はデタラメ: ランダム宇宙の科学と生活","ブライアン・クレッグ","NTT出版","2014","本","301"
"1","4762828998","9784762828997","","","読み終わった","","","","2016-05-23 23:37:57","2017-04-23 00:00:00","サボタージュ・マニュアル:諜報活動が照らす組織経営の本質","米国戦略諜報局(OSS)","北大路書房","2015","本","128"
"1","4788908166","9784788908161","","","読みたい","","","","2016-05-23 23:38:36","","競争の科学??賢く戦い、結果を出す","ポー・ブロンソン","実務教育出版","2014","本","360"
"1","4274207218","9784274207211","","","読みたい","","","","2016-05-23 23:39:40","","社会知デザイン (知の科学)","西田 豊明","オーム社","2009","本","285"
"1","4152094478","9784152094476","","","読みたい","","","","2016-05-23 23:42:07","","ダーウィンを数学で証明する","グレゴリー チャイティン","早川書房","2014","本","167"
"1","4534052197","9784534052193","","","読みたい","","","","2016-05-23 23:43:33","","買いたがる脳","デイビッド・ルイス","日本実業出版社","2014","本","313"
"1","462207575X","9784622075752","","","いま読んでる","","","","2016-05-29 01:35:53","","生命の跳躍――進化の10大発明","ニック・レーン","みすず書房","2010","本","480"
